AL,Alabama,"5,117,673","21,352",538,"1,643","2,191","16,980","95,542","15,055","69,165","11,322"
AK,Alaska,"736,510","5,403",59,894,572,"3,878","13,858","1,855","10,016","1,987"
AZ,Arizona,"7,473,027","32,415",485,"3,414","4,946","23,570","143,974","18,925","103,109","21,940"
AR,Arkansas,"3,069,463","19,132",294,"2,328","1,160","15,350","68,654","12,599","49,346","6,709"
CA,California,"39,198,693","198,715","1,946","14,879","50,038","131,852","911,797","136,144","575,035","200,618"
CO,Colorado,"5,901,339","28,633",318,"3,655","3,857","20,803","172,509","21,515","112,076","38,918"
CT,Connecticut,"3,643,023","5,552",138,771,"1,589","3,054","56,993","4,704","41,603","10,686"
DE,Delaware,"1,036,423","4,084",46,227,543,"3,268","20,068","1,852","15,642","2,574"
DC,District of Columbia,"687,324","7,846",266,280,"4,174","3,126","29,296","1,671","20,336","7,289"
FL,Florida,"22,904,868","67,048","1,105","7,068","9,736","49,139","346,059","37,596","277,201","31,262"
GA,Georgia,"11,064,432","40,607",828,"3,867","4,933","30,979","207,769","25,144","154,034","28,591"
HI,Hawaii,"1,441,387","3,345",36,636,715,"1,958","30,882","3,496","21,544","5,842"
ID,Idaho,"1,971,122","4,738",50,931,185,"3,572","16,139","2,817","11,798","1,524"
IL,Illinois,"12,642,259","39,022",836,"5,439","13,844","18,903","215,682","29,305","143,147","43,230"
IN,Indiana,"6,880,131","23,514",393,"2,450","2,804","17,867","105,802","14,444","75,223","16,135"
IA,Iowa,"3,218,414","8,807",79,"1,380",718,"6,630","46,157","6,996","33,852","5,309"
KS,Kansas,"2,951,500","13,831",156,"1,476","1,102","11,097","68,982","9,917","50,723","8,342"
KY,Kentucky,"4,550,595","10,431",293,"1,645","1,777","6,716","70,974","10,651","47,363","12,960"
LA,Louisiana,"4,588,071","25,788",669,"2,147","2,554","20,418","119,435","20,250","81,652","17,533"
ME,Maine,"1,399,646","1,453",60,434,164,795,"15,798","1,564","13,116","1,118"
MD,Maryland,"6,217,062","27,371",541,"2,134","8,124","16,572","133,482","12,251","86,631","34,600"
MA,Massachusetts,"7,066,568","22,675",150,"1,962","2,650","17,913","79,095","9,472","61,169","8,454"
MI,Michigan,"10,083,356","46,461",597,"6,183","3,718","35,963","157,244","20,914","107,976","28,354"
MN,Minnesota,"5,753,048","15,126",183,"2,132","2,787","10,024","98,198","10,601","72,249","15,348"
MS,Mississippi,"2,943,172","5,941",213,965,624,"4,139","46,639","8,910","32,112","5,617"
MO,Missouri,"6,208,038","29,239",581,"3,140","3,362","22,156","133,972","16,023","87,531","30,418"
MT,Montana,"1,131,302","5,076",36,657,274,"4,109","20,855","1,954","16,723","2,178"
NE,Nebraska,"1,987,864","4,625",69,"1,028",524,"3,004","39,275","3,381","27,622","8,272"
NV,Nevada,"3,214,363","13,941",234,"1,692","2,425","9,590","81,631","13,091","46,637","21,903"
NH,New Hampshire,"1,402,199","1,613",25,521,233,834,"12,788",819,"11,069",900
NJ,New Jersey,"9,379,642","21,136",271,"1,715","4,889","14,261","143,279","14,771","110,600","17,908"
NM,New Mexico,"2,121,164","15,843",250,"1,146","1,541","12,906","61,007","10,994","39,013","11,000"
NY,New York,"19,737,367","77,199",654,"5,218","20,821","50,506","355,852","30,072","289,872","35,908"
NC,North Carolina,"10,881,189","42,815",875,"3,148","5,639","33,153","225,319","38,516","158,176","28,627"
ND,North Dakota,"789,047","2,208",28,410,198,"1,572","15,342","2,539","11,054","1,749"
OH,Ohio,"11,824,034","35,626",709,"5,919","6,035","22,963","206,514","28,038","146,143","32,333"
OK,Oklahoma,"4,063,882","16,996",255,"2,522","1,514","12,705","87,749","18,704","58,266","10,779"
OR,Oregon,"4,253,653","14,124",191,"1,834","2,663","9,436","110,677","14,665","78,423","17,589"
PA,Pennsylvania,"13,017,721","34,871",873,"3,537","8,180","22,281","203,662","17,925","151,406","34,331"
RI,Rhode Island,"1,103,429","1,848",29,405,242,"1,172","12,303","1,299","9,464","1,540"
SC,South Carolina,"5,387,830","25,705",481,"2,080","2,147","20,997","119,846","17,591","88,533","13,722"
SD,South Dakota,"918,305","3,234",26,466,189,"2,553","14,903","2,050","10,602","2,251"
TN,Tennessee,"7,148,304","45,497",718,"2,861","5,154","36,764","169,654","21,347","115,966","32,341"
TX,Texas,"30,727,890","125,145","1,887","15,682","21,084","86,492","685,014","93,046","466,782","125,186"
UT,Utah,"3,443,222","7,968",79,"1,937",892,"5,060","55,726","5,843","44,816","5,067"
VT,Vermont,"648,708","1,401",17,226,95,"1,063","11,790",930,"10,260",600
VA,Virginia,"8,734,685","21,101",541,"2,766","3,332","14,462","145,881","10,634","120,084","15,163"
WA,Washington,"7,857,320","28,231",378,"3,122","6,414","18,317","227,166","37,808","135,911","53,447"
WV,West Virginia,"1,770,495","4,761",106,866,202,"3,587","21,042","3,205","16,214","1,623"
WI,Wisconsin,"5,930,405","17,675",296,"2,352","2,347","12,680","73,391","7,883","55,372","10,136"
WY,Wyoming,"585,067","1,133",19,327,68,719,"8,629","1,187","6,665",777
