State,Year,Month,Indicator,Data Value,State Name
AK,2023,January,Number of Deaths,5533,Alaska
AK,2023,February,Number of Deaths,5520,Alaska
AK,2023,March,Number of Deaths,5514,Alaska
AK,2023,April,Number of Deaths,5545,Alaska
AK,2023,May,Number of Deaths,5550,Alaska
AK,2023,June,Number of Deaths,5513,Alaska
AK,2023,July,Number of Deaths,5441,Alaska
AK,2023,August,Number of Deaths,5426,Alaska
AK,2023,September,Number of Deaths,5460,Alaska
AK,2023,October,Number of Deaths,5454,Alaska
AK,2023,November,Number of Deaths,5498,Alaska
AK,2023,December,Number of Deaths,5452,Alaska
AK,2023,January,Number of Drug Overdose Deaths,269,Alaska
AK,2023,February,Number of Drug Overdose Deaths,275,Alaska
AK,2023,March,Number of Drug Overdose Deaths,264,Alaska
AK,2023,April,Number of Drug Overdose Deaths,275,Alaska
AK,2023,May,Number of Drug Overdose Deaths,288,Alaska
AK,2023,June,Number of Drug Overdose Deaths,287,Alaska
AK,2023,July,Number of Drug Overdose Deaths,288,Alaska
AK,2023,August,Number of Drug Overdose Deaths,297,Alaska
AK,2023,September,Number of Drug Overdose Deaths,318,Alaska
AK,2023,October,Number of Drug Overdose Deaths,323,Alaska
AK,2023,November,Number of Drug Overdose Deaths,336,Alaska
AK,2023,December,Number of Drug Overdose Deaths,357,Alaska
AL,2023,January,Number of Deaths,59800,Alabama
AL,2023,February,Number of Deaths,58621,Alabama
AL,2023,March,Number of Deaths,58582,Alabama
AL,2023,April,Number of Deaths,58685,Alabama
AL,2023,May,Number of Deaths,59003,Alabama
AL,2023,June,Number of Deaths,58823,Alabama
AL,2023,July,Number of Deaths,58734,Alabama
AL,2023,August,Number of Deaths,58751,Alabama
AL,2023,September,Number of Deaths,58635,Alabama
AL,2023,October,Number of Deaths,58252,Alabama
AL,2023,November,Number of Deaths,58062,Alabama
AL,2023,December,Number of Deaths,58206,Alabama
AL,2023,January,Number of Drug Overdose Deaths,1495,Alabama
AL,2023,February,Number of Drug Overdose Deaths,1507,Alabama
AL,2023,March,Number of Drug Overdose Deaths,1540,Alabama
AL,2023,April,Number of Drug Overdose Deaths,1539,Alabama
AL,2023,May,Number of Drug Overdose Deaths,1567,Alabama
AL,2023,June,Number of Drug Overdose Deaths,1592,Alabama
AL,2023,July,Number of Drug Overdose Deaths,1603,Alabama
AL,2023,August,Number of Drug Overdose Deaths,1589,Alabama
AL,2023,September,Number of Drug Overdose Deaths,1579,Alabama
AL,2023,October,Number of Drug Overdose Deaths,1570,Alabama
AL,2023,November,Number of Drug Overdose Deaths,1585,Alabama
AL,2023,December,Number of Drug Overdose Deaths,1598,Alabama
AR,2023,January,Number of Deaths,36956,Arkansas
AR,2023,February,Number of Deaths,36250,Arkansas
AR,2023,March,Number of Deaths,36127,Arkansas
AR,2023,April,Number of Deaths,36193,Arkansas
AR,2023,May,Number of Deaths,36148,Arkansas
AR,2023,June,Number of Deaths,36019,Arkansas
AR,2023,July,Number of Deaths,35961,Arkansas
AR,2023,August,Number of Deaths,35886,Arkansas
AR,2023,September,Number of Deaths,35862,Arkansas
AR,2023,October,Number of Deaths,35790,Arkansas
AR,2023,November,Number of Deaths,35568,Arkansas
AR,2023,December,Number of Deaths,35354,Arkansas
AR,2023,January,Number of Drug Overdose Deaths,574,Arkansas
AR,2023,February,Number of Drug Overdose Deaths,572,Arkansas
AR,2023,March,Number of Drug Overdose Deaths,550,Arkansas
AR,2023,April,Number of Drug Overdose Deaths,561,Arkansas
AR,2023,May,Number of Drug Overdose Deaths,558,Arkansas
AR,2023,June,Number of Drug Overdose Deaths,555,Arkansas
AR,2023,July,Number of Drug Overdose Deaths,544,Arkansas
AR,2023,August,Number of Drug Overdose Deaths,545,Arkansas
AR,2023,September,Number of Drug Overdose Deaths,552,Arkansas
AR,2023,October,Number of Drug Overdose Deaths,536,Arkansas
AR,2023,November,Number of Drug Overdose Deaths,527,Arkansas
AR,2023,December,Number of Drug Overdose Deaths,517,Arkansas
AZ,2023,January,Number of Deaths,73084,Arizona
AZ,2023,February,Number of Deaths,71968,Arizona
AZ,2023,March,Number of Deaths,71862,Arizona
AZ,2023,April,Number of Deaths,72242,Arizona
AZ,2023,May,Number of Deaths,72159,Arizona
AZ,2023,June,Number of Deaths,71920,Arizona
AZ,2023,July,Number of Deaths,71773,Arizona
AZ,2023,August,Number of Deaths,71655,Arizona
AZ,2023,September,Number of Deaths,71388,Arizona
AZ,2023,October,Number of Deaths,71366,Arizona
AZ,2023,November,Number of Deaths,70760,Arizona
AZ,2023,December,Number of Deaths,70136,Arizona
AZ,2023,January,Number of Drug Overdose Deaths,2760,Arizona
AZ,2023,February,Number of Drug Overdose Deaths,2772,Arizona
AZ,2023,March,Number of Drug Overdose Deaths,2787,Arizona
AZ,2023,April,Number of Drug Overdose Deaths,2809,Arizona
AZ,2023,May,Number of Drug Overdose Deaths,2824,Arizona
AZ,2023,June,Number of Drug Overdose Deaths,2776,Arizona
AZ,2023,July,Number of Drug Overdose Deaths,2800,Arizona
AZ,2023,August,Number of Drug Overdose Deaths,2829,Arizona
AZ,2023,September,Number of Drug Overdose Deaths,2803,Arizona
AZ,2023,October,Number of Drug Overdose Deaths,2786,Arizona
AZ,2023,November,Number of Drug Overdose Deaths,2776,Arizona
AZ,2023,December,Number of Drug Overdose Deaths,2720,Arizona
CA,2023,January,Number of Deaths,308916,California
CA,2023,February,Number of Deaths,305072,California
CA,2023,March,Number of Deaths,306228,California
CA,2023,April,Number of Deaths,307441,California
CA,2023,May,Number of Deaths,307196,California
CA,2023,June,Number of Deaths,306318,California
CA,2023,July,Number of Deaths,304570,California
CA,2023,August,Number of Deaths,303075,California
CA,2023,September,Number of Deaths,301689,California
CA,2023,October,Number of Deaths,301716,California
CA,2023,November,Number of Deaths,300378,California
CA,2023,December,Number of Deaths,297664,California
CA,2023,January,Number of Drug Overdose Deaths,11896,California
CA,2023,February,Number of Drug Overdose Deaths,11918,California
CA,2023,March,Number of Drug Overdose Deaths,12112,California
CA,2023,April,Number of Drug Overdose Deaths,12197,California
CA,2023,May,Number of Drug Overdose Deaths,12359,California
CA,2023,June,Number of Drug Overdose Deaths,12402,California
CA,2023,July,Number of Drug Overdose Deaths,12554,California
CA,2023,August,Number of Drug Overdose Deaths,12593,California
CA,2023,September,Number of Drug Overdose Deaths,12456,California
CA,2023,October,Number of Drug Overdose Deaths,12450,California
CA,2023,November,Number of Drug Overdose Deaths,12418,California
CA,2023,December,Number of Drug Overdose Deaths,12369,California
CO,2023,January,Number of Deaths,46566,Colorado
CO,2023,February,Number of Deaths,46210,Colorado
CO,2023,March,Number of Deaths,46196,Colorado
CO,2023,April,Number of Deaths,46418,Colorado
CO,2023,May,Number of Deaths,46330,Colorado
CO,2023,June,Number of Deaths,46156,Colorado
CO,2023,July,Number of Deaths,45986,Colorado
CO,2023,August,Number of Deaths,46122,Colorado
CO,2023,September,Number of Deaths,46137,Colorado
CO,2023,October,Number of Deaths,46255,Colorado
CO,2023,November,Number of Deaths,46058,Colorado
CO,2023,December,Number of Deaths,45745,Colorado
CO,2023,January,Number of Drug Overdose Deaths,1835,Colorado
CO,2023,February,Number of Drug Overdose Deaths,1828,Colorado
CO,2023,March,Number of Drug Overdose Deaths,1826,Colorado
CO,2023,April,Number of Drug Overdose Deaths,1850,Colorado
CO,2023,May,Number of Drug Overdose Deaths,1862,Colorado
CO,2023,June,Number of Drug Overdose Deaths,1898,Colorado
CO,2023,July,Number of Drug Overdose Deaths,1916,Colorado
CO,2023,August,Number of Drug Overdose Deaths,1935,Colorado
CO,2023,September,Number of Drug Overdose Deaths,1940,Colorado
CO,2023,October,Number of Drug Overdose Deaths,1945,Colorado
CO,2023,November,Number of Drug Overdose Deaths,1956,Colorado
CO,2023,December,Number of Drug Overdose Deaths,1926,Colorado
CT,2023,January,Number of Deaths,34083,Connecticut
CT,2023,February,Number of Deaths,33828,Connecticut
CT,2023,March,Number of Deaths,33799,Connecticut
CT,2023,April,Number of Deaths,33715,Connecticut
CT,2023,May,Number of Deaths,33520,Connecticut
CT,2023,June,Number of Deaths,33408,Connecticut
CT,2023,July,Number of Deaths,33314,Connecticut
CT,2023,August,Number of Deaths,33343,Connecticut
CT,2023,September,Number of Deaths,33409,Connecticut
CT,2023,October,Number of Deaths,33381,Connecticut
CT,2023,November,Number of Deaths,33250,Connecticut
CT,2023,December,Number of Deaths,32901,Connecticut
CT,2023,January,Number of Drug Overdose Deaths,1476,Connecticut
CT,2023,February,Number of Drug Overdose Deaths,1493,Connecticut
CT,2023,March,Number of Drug Overdose Deaths,1473,Connecticut
CT,2023,April,Number of Drug Overdose Deaths,1465,Connecticut
CT,2023,May,Number of Drug Overdose Deaths,1469,Connecticut
CT,2023,June,Number of Drug Overdose Deaths,1462,Connecticut
