"ParkName","Region","State","Year","RecreationVisits"
"Acadia NP","Northeast","ME","2024","3961661"
"Arches NP","Intermountain","UT","2024","1466528"
"Badlands NP","Midwest","SD","2024","1094245"
"Big Bend NP","Intermountain","TX","2024","561458"
"Biscayne NP","Southeast","FL","2024","512213"
"Black Canyon of the Gunnison NP","Intermountain","CO","2024","335862"
"Bryce Canyon NP","Intermountain","UT","2024","2498075"
"Canyonlands NP","Intermountain","UT","2024","818492"
"Capitol Reef NP","Intermountain","UT","2024","1422490"
"Carlsbad Caverns NP","Intermountain","NM","2024","460474"
"Channel Islands NP","Pacific West","CA","2024","262581"
"Congaree NP","Southeast","SC","2024","242049"
"Crater Lake NP","Pacific West","OR","2024","504942"
"Cuyahoga Valley NP","Midwest","OH","2024","2912454"
"Death Valley NP","Pacific West","CA","2024","1440484"
"Denali NP & PRES","Alaska","AK","2024","466227"
"Dry Tortugas NP","Southeast","FL","2024","84873"
"Everglades NP","Southeast","FL","2024","741983"
"Gates of the Arctic NP & PRES","Alaska","AK","2024","11907"
"Gateway Arch NP","Midwest","MO","2024","2563052"
"Glacier Bay NP & PRES","Alaska","AK","2024","736282"
"Glacier NP","Intermountain","MT","2024","3208755"
"Grand Canyon NP","Intermountain","AZ","2024","4919163"
"Grand Teton NP","Intermountain","WY","2024","3628222"
"Great Basin NP","Pacific West","NV","2024","152068"
"Great Sand Dunes NP & PRES","Intermountain","CO","2024","437661"
"Great Smoky Mountains NP","Southeast","TN","2024","12191834"
"Guadalupe Mountains NP","Intermountain","TX","2024","226134"
"Haleakala NP","Pacific West","HI","2024","732477"
"Hawaii Volcanoes NP","Pacific West","HI","2024","1433593"
"Hot Springs NP","Midwest","AR","2024","2461812"
"Indiana Dunes NP","Midwest","IN","2024","2705209"
"Isle Royale NP","Midwest","MI","2024","28806"
"Joshua Tree NP","Pacific West","CA","2024","2991874"
"Katmai NP & PRES","Alaska","AK","2024","36230"
"Kenai Fjords NP","Alaska","AK","2024","419468"
"Kings Canyon NP","Pacific West","CA","2024","699389"
"Kobuk Valley NP","Alaska","AK","2024","17233"
"Lake Clark NP & PRES","Alaska","AK","2024","18505"
"Lassen Volcanic NP","Pacific West","CA","2024","357651"
"Mammoth Cave NP","Southeast","KY","2024","747042"
"Mesa Verde NP","Intermountain","CO","2024","480065"
"Mount Rainier NP","Pacific West","WA","2024","1620006"
"National Park of American Samoa","Pacific West","AS","2024","22567"
"New River Gorge NP & PRES","Northeast","WV","2024","1811937"
"North Cascades NP","Pacific West","WA","2024","16485"
"Olympic NP","Pacific West","WA","2024","3717267"
"Petrified Forest NP","Intermountain","AZ","2024","559254"
"Pinnacles NP","Pacific West","CA","2024","354076"
"Redwood NP","Pacific West","CA","2024","622883"
"Rocky Mountain NP","Intermountain","CO","2024","4154349"
"Saguaro NP","Intermountain","AZ","2024","946369"
"Sequoia NP","Pacific West","CA","2024","1309573"
"Shenandoah NP","Northeast","VA","2024","1720211"
"Theodore Roosevelt NP","Midwest","ND","2024","732951"
"Virgin Islands NP","Southeast","VI","2024","423029"
"Voyageurs NP","Midwest","MN","2024","199030"
"White Sands NP","Intermountain","NM","2024","702236"
"Wind Cave NP","Midwest","SD","2024","489399"
"Wrangell-St. Elias NP & PRES","Alaska","AK","2024","81670"
"Yellowstone NP","Intermountain","WY","2024","4744353"
"Yosemite NP","Pacific West","CA","2024","4121807"
"Zion NP","Intermountain","UT","2024","4946592"
"Acadia NP","Northeast","ME","2023","3879890"
"Arches NP","Intermountain","UT","2023","1482045"
