"Time","Yellowstone National Park","Acadia National Park","Arches National Park","Badlands National Park","Big Bend National Park","Biscayne National Park","Black Canyon of the Gunnison National Park","Bryce Canyon National Park"
"2004-01-01",29,5,2,3,0,0,0,5
"2004-02-01",28,4,2,3,0,0,0,5
"2004-03-01",33,6,4,4,0,1,1,6
"2004-04-01",35,6,3,4,0,1,1,7
"2004-05-01",43,10,4,5,0,1,1,7
"2004-06-01",40,12,3,5,0,0,1,7
"2004-07-01",40,13,3,4,0,0,1,7
"2004-08-01",32,11,2,4,0,0,0,5
"2004-09-01",27,7,3,3,0,0,1,5
"2004-10-01",25,4,2,3,0,0,0,4
"2004-11-01",20,3,2,3,0,0,0,3
"2004-12-01",22,3,1,3,0,0,0,3
"2005-01-01",27,4,2,3,0,1,0,4
"2005-02-01",27,4,2,4,0,1,1,5
"2005-03-01",30,5,3,3,0,1,1,6
"2005-04-01",41,6,3,4,0,0,1,7
"2005-05-01",44,8,4,6,0,1,1,7
"2005-06-01",44,10,3,4,0,0,1,7
"2005-07-01",39,12,3,5,0,0,1,6
"2005-08-01",31,9,2,3,0,0,1,5
"2005-09-01",23,6,2,3,0,0,0,4
"2005-10-01",21,4,2,2,0,0,0,4
"2005-11-01",20,3,1,2,0,0,0,3
"2005-12-01",18,3,1,2,0,0,0,3
"2006-01-01",26,4,2,3,0,0,0,4
"2006-02-01",24,4,2,3,0,0,0,4
"2006-03-01",26,4,3,4,0,1,1,5
"2006-04-01",31,5,3,3,0,0,1,5
"2006-05-01",32,7,3,5,0,0,1,6
"2006-06-01",38,9,3,4,0,0,1,6
"2006-07-01",31,10,2,4,0,0,1,5
"2006-08-01",28,9,3,3,0,0,1,6
"2006-09-01",24,5,2,3,0,0,1,4
"2006-10-01",20,4,2,3,0,0,0,3
"2006-11-01",18,3,2,2,0,0,0,3
"2006-12-01",20,3,1,2,0,0,0,3
"2007-01-01",24,4,2,3,0,0,0,3
"2007-02-01",21,4,2,2,0,0,0,3
"2007-03-01",25,5,3,3,0,0,0,4
"2007-04-01",26,6,3,3,0,0,0,5
"2007-05-01",37,8,4,4,0,0,1,5
"2007-06-01",36,9,3,4,0,0,1,6
"2007-07-01",37,10,2,4,0,0,1,5
"2007-08-01",29,10,2,3,0,0,1,4
"2007-09-01",19,6,2,3,0,0,0,4
"2007-10-01",21,5,2,3,0,0,0,3
"2007-11-01",18,3,2,2,0,0,0,2
"2007-12-01",17,3,1,2,0,0,0,2
"2008-01-01",24,4,2,3,0,0,0,3
"2008-02-01",21,4,2,3,0,0,0,3
"2008-03-01",23,4,3,3,0,0,0,4
"2008-04-01",26,6,3,3,0,0,0,5
"2008-05-01",32,7,3,4,0,0,1,5
"2008-06-01",32,8,2,4,0,0,1,5
"2008-07-01",32,9,2,3,0,0,1,5
"2008-08-01",24,8,7,3,0,0,0,4
"2008-09-01",18,5,2,3,0,0,0,3
"2008-10-01",14,4,2,2,0,0,0,2
"2008-11-01",13,3,2,2,0,0,0,2
"2008-12-01",17,3,1,2,0,0,0,2
"2009-01-01",35,3,2,2,0,0,0,3
"2009-02-01",19,3,2,2,0,0,0,3
"2009-03-01",23,4,3,3,0,0,0,4
"2009-04-01",25,4,3,3,0,0,0,4
"2009-05-01",36,6,3,4,0,0,1,5
"2009-06-01",38,8,2,4,0,0,1,5
"2009-07-01",36,9,2,4,0,0,1,5
"2009-08-01",30,11,2,3,0,0,1,4
"2009-09-01",27,11,2,3,0,0,0,4
"2009-10-01",21,4,2,3,0,0,0,3
"2009-11-01",14,3,2,2,0,0,0,2
"2009-12-01",17,2,1,2,0,0,0,2
"2010-01-01",26,3,2,2,0,0,0,3
"2010-02-01",24,3,2,2,0,0,0,3
"2010-03-01",27,4,2,2,0,0,0,4
"2010-04-01",27,5,2,2,0,1,1,4
"2010-05-01",34,6,3,3,0,0,1,5
"2010-06-01",37,8,3,4,0,0,1,5
"2010-07-01",41,10,2,4,0,0,1,4
"2010-08-01",31,9,2,3,0,0,0,4
"2010-09-01",20,5,2,2,0,0,0,3
"2010-10-01",16,4,1,2,0,0,0,3
"2010-11-01",14,3,1,2,0,0,0,2
"2010-12-01",14,2,1,2,0,0,0,2
