"Time","Denali National Park and Preserve","Dry Tortugas National Park","Everglades National Park","Gates of the Arctic National Park and Preserve","Glacier Bay National Park and Preserve","Grand Canyon National Park","Grand Teton National Park","Great Basin National Park"
"2004-01-01",6,3,7,0,1,83,9,1
"2004-02-01",6,3,5,0,3,82,10,1
"2004-03-01",8,3,6,0,3,88,10,1
"2004-04-01",9,3,5,0,3,86,12,1
"2004-05-01",9,4,4,0,3,94,13,2
"2004-06-01",11,3,3,0,2,85,17,1
"2004-07-01",9,3,3,0,3,84,18,2
"2004-08-01",8,4,2,0,2,78,13,1
"2004-09-01",5,5,3,0,2,78,9,1
"2004-10-01",3,2,3,1,2,69,6,1
"2004-11-01",3,2,4,0,2,67,6,1
"2004-12-01",4,2,6,1,2,61,6,0
"2005-01-01",6,3,7,0,2,81,8,1
"2005-02-01",6,4,6,0,2,83,9,0
"2005-03-01",6,4,6,0,3,82,9,1
"2005-04-01",7,4,4,0,3,86,10,1
"2005-05-01",10,4,5,1,4,88,14,1
"2005-06-01",10,4,3,0,3,79,16,2
"2005-07-01",10,5,2,0,2,73,15,1
"2005-08-01",9,3,2,0,2,69,12,1
"2005-09-01",5,4,3,0,2,58,8,1
"2005-10-01",3,3,5,0,2,59,6,1
"2005-11-01",3,2,5,0,2,59,5,1
"2005-12-01",3,2,5,0,2,52,5,1
"2006-01-01",6,3,4,0,2,68,9,1
"2006-02-01",5,3,4,0,2,73,8,1
"2006-03-01",6,3,4,0,3,74,8,1
"2006-04-01",7,2,3,0,3,68,10,1
"2006-05-01",8,2,3,0,2,74,11,1
"2006-06-01",9,3,2,0,2,71,12,1
"2006-07-01",9,4,2,0,3,59,14,1
"2006-08-01",8,2,2,0,2,59,11,1
"2006-09-01",5,2,2,0,2,52,9,1
"2006-10-01",5,2,3,0,2,53,6,1
"2006-11-01",3,2,4,0,1,50,5,0
"2006-12-01",4,2,4,0,1,47,6,1
"2007-01-01",5,2,5,0,2,61,8,1
"2007-02-01",5,3,4,0,2,58,8,1
"2007-03-01",5,2,4,0,2,100,7,1
"2007-04-01",6,2,4,0,2,84,10,1
"2007-05-01",7,3,3,0,3,79,12,1
"2007-06-01",8,2,2,0,2,73,14,1
"2007-07-01",8,2,2,0,2,67,16,1
"2007-08-01",7,2,2,0,2,58,11,1
"2007-09-01",5,2,2,0,2,57,7,1
"2007-10-01",3,1,3,0,1,65,5,1
"2007-11-01",3,2,3,0,1,51,5,1
"2007-12-01",3,2,4,0,1,48,5,0
"2008-01-01",5,3,4,0,2,62,8,0
"2008-02-01",5,3,4,0,2,68,7,1
"2008-03-01",5,2,4,0,2,79,7,1
"2008-04-01",5,2,3,0,2,64,8,1
"2008-05-01",7,2,3,0,2,69,10,1
"2008-06-01",9,2,2,0,2,58,11,1
"2008-07-01",9,2,2,0,3,55,12,1
"2008-08-01",7,2,2,0,2,58,9,1
"2008-09-01",4,2,2,0,2,48,6,1
"2008-10-01",3,1,2,0,1,45,4,0
"2008-11-01",2,2,3,0,1,37,4,0
"2008-12-01",2,2,4,0,1,38,4,0
"2009-01-01",3,2,4,0,2,53,6,0
"2009-02-01",4,2,4,0,2,56,5,0
"2009-03-01",4,3,4,0,1,63,6,1
"2009-04-01",4,2,3,0,1,61,7,1
"2009-05-01",7,2,3,0,2,66,9,1
"2009-06-01",8,2,2,0,2,61,12,1
"2009-07-01",7,2,2,0,2,61,12,1
"2009-08-01",5,2,2,0,2,55,10,1
"2009-09-01",4,2,3,0,2,52,8,1
"2009-10-01",4,2,4,0,1,49,6,1
"2009-11-01",3,2,4,0,1,45,4,1
"2009-12-01",3,2,5,0,1,41,4,0
"2010-01-01",4,2,6,0,1,54,6,1
"2010-02-01",4,2,5,0,1,49,5,1
"2010-03-01",4,2,5,0,1,57,6,1
"2010-04-01",4,2,4,0,1,52,7,1
"2010-05-01",7,3,3,0,2,60,9,1
"2010-06-01",8,2,2,0,1,49,10,1
"2010-07-01",6,2,2,0,1,47,13,1
"2010-08-01",6,2,2,0,1,42,9,1
"2010-09-01",4,1,2,0,1,43,6,1
"2010-10-01",2,1,2,0,1,42,4,1
"2010-11-01",2,1,3,0,1,42,3,0
"2010-12-01",2,1,4,0,1,36,3,0
"2011-01-01",4,2,5,0,1,51,5,0
"2011-02-01",3,2,4,0,1,51,5,0
"2011-03-01",4,2,4,0,1,59,5,1
"2011-04-01",4,2,4,0,1,59,6,1
"2011-05-01",6,2,3,0,1,62,8,1
"2011-06-01",7,2,3,0,2,64,11,1
"2011-07-01",7,2,2,0,2,59,11,1
"2011-08-01",5,2,2,0,1,50,9,1
"2011-09-01",4,1,2,0,1,49,6,1
"2011-10-01",2,1,2,0,1,45,4,1
"2011-11-01",2,2,3,0,1,40,4,0
"2011-12-01",2,1,4,0,1,39,3,0
"2012-01-01",3,2,5,0,1,48,5,1
"2012-02-01",3,2,5,0,1,54,5,1
"2012-03-01",3,2,4,0,1,54,4,1
"2012-04-01",4,2,3,0,1,49,6,1
"2012-05-01",6,2,3,0,1,50,8,1
"2012-06-01",7,2,2,0,1,49,9,1
"2012-07-01",7,2,3,0,1,48,10,1
"2012-08-01",8,2,2,0,1,39,9,1
"2012-09-01",4,1,2,0,1,43,6,1
"2012-10-01",2,1,2,0,1,39,4,1
"2012-11-01",2,1,3,0,1,34,3,0
"2012-12-01",2,2,4,0,1,34,3,0
"2013-01-01",3,2,4,0,1,41,5,0
"2013-02-01",3,2,4,0,1,42,4,0
"2013-03-01",3,2,4,0,1,46,5,1
"2013-04-01",4,2,3,0,1,44,5,1
"2013-05-01",6,2,3,0,1,47,7,1
"2013-06-01",8,2,2,0,1,67,10,1
"2013-07-01",7,2,2,0,1,46,10,1
"2013-08-01",6,2,2,0,1,43,9,1
"2013-09-01",3,1,2,0,1,41,7,1
"2013-10-01",2,1,3,0,1,45,4,1
"2013-11-01",2,2,3,0,1,33,3,0
"2013-12-01",2,2,5,0,1,38,4,0
"2014-01-01",3,2,4,0,1,43,5,0
"2014-02-01",3,2,4,0,1,41,5,1
"2014-03-01",3,3,4,0,1,50,5,1
"2014-04-01",4,2,3,0,1,46,6,1
"2014-05-01",6,2,3,0,1,48,7,1
"2014-06-01",8,2,2,0,1,46,11,1
"2014-07-01",7,2,2,0,1,46,11,1
"2014-08-01",5,2,2,0,1,45,9,1
"2014-09-01",4,2,2,0,1,46,7,1
"2014-10-01",2,2,3,0,1,47,4,1
"2014-11-01",2,2,3,0,1,39,3,1
"2014-12-01",2,2,5,0,1,44,4,0
"2015-01-01",3,3,5,0,1,52,6,2
"2015-02-01",3,3,4,0,1,54,5,1
"2015-03-01",3,3,4,0,1,55,6,1
"2015-04-01",4,3,3,0,1,49,6,1
"2015-05-01",5,3,3,0,1,57,9,1
"2015-06-01",7,3,2,0,1,53,10,1
