"Time","Joshua Tree National Park","Katmai National Park and Preserve","Kenai Fjords National Park","Kings Canyon National Park","Kobuk Valley National Park","Lake Clark National Park and Preserve","Lassen Volcanic National Park","Mammoth Cave National Park"
"2004-01-01",37,6,3,5,0,0,4,3
"2004-02-01",43,8,4,7,0,0,5,5
"2004-03-01",52,5,5,9,0,0,6,6
"2004-04-01",45,6,4,9,0,0,9,5
"2004-05-01",34,5,4,16,0,0,12,8
"2004-06-01",25,3,3,16,0,2,15,9
"2004-07-01",29,3,4,18,0,0,14,9
"2004-08-01",24,4,4,17,0,2,14,7
"2004-09-01",30,3,3,8,0,3,8,5
"2004-10-01",33,5,2,6,0,0,6,4
"2004-11-01",37,4,0,5,0,2,5,4
"2004-12-01",35,3,2,5,0,3,3,3
"2005-01-01",33,4,0,4,0,1,4,3
"2005-02-01",40,5,2,5,0,1,6,5
"2005-03-01",70,4,2,6,0,3,4,7
"2005-04-01",48,4,3,10,0,3,4,8
"2005-05-01",38,5,4,16,0,1,11,6
"2005-06-01",24,3,4,17,1,1,14,7
"2005-07-01",22,3,4,14,0,0,13,10
"2005-08-01",25,5,3,16,0,2,10,5
"2005-09-01",25,4,3,8,0,0,5,4
"2005-10-01",29,4,2,9,0,0,5,3
"2005-11-01",38,4,0,5,0,0,4,3
"2005-12-01",36,3,2,5,0,2,3,3
"2006-01-01",33,6,3,4,0,1,3,3
"2006-02-01",39,8,2,5,0,1,4,4
"2006-03-01",43,4,2,6,0,1,5,6
"2006-04-01",38,4,3,7,0,1,4,6
"2006-05-01",30,4,3,12,0,0,7,7
"2006-06-01",23,3,3,14,0,1,11,8
"2006-07-01",24,3,3,13,0,1,11,6
"2006-08-01",23,4,3,11,0,1,11,5
"2006-09-01",26,3,1,9,0,0,5,4
"2006-10-01",29,2,1,5,0,0,4,4
"2006-11-01",32,4,1,5,0,1,4,3
"2006-12-01",30,4,1,5,0,1,3,2
"2007-01-01",30,4,2,4,0,1,3,3
"2007-02-01",34,4,2,5,0,1,3,3
"2007-03-01",38,4,2,6,0,0,4,5
"2007-04-01",34,4,2,8,0,1,5,4
"2007-05-01",28,6,3,10,0,1,9,5
"2007-06-01",19,6,3,12,0,1,10,5
"2007-07-01",19,5,3,12,0,1,10,6
"2007-08-01",20,4,2,12,0,1,9,5
"2007-09-01",22,3,2,6,0,1,6,3
"2007-10-01",29,4,1,5,0,1,4,3
"2007-11-01",30,3,2,4,0,1,3,2
"2007-12-01",30,4,1,4,0,0,3,2
"2008-01-01",28,3,2,4,0,1,3,3
"2008-02-01",34,4,2,4,0,1,3,2
"2008-03-01",44,3,2,5,0,1,3,5
"2008-04-01",32,3,2,7,0,1,4,5
"2008-05-01",25,4,3,10,0,1,6,6
"2008-06-01",18,2,3,11,0,1,9,5
"2008-07-01",18,3,3,11,0,1,10,5
"2008-08-01",18,2,2,9,0,1,8,4
"2008-09-01",20,2,1,5,0,1,5,4
"2008-10-01",31,8,1,5,0,0,2,3
"2008-11-01",30,2,1,3,0,0,2,2
"2008-12-01",29,3,0,3,0,1,2,2
"2009-01-01",30,3,1,4,0,1,4,2
"2009-02-01",30,2,1,4,0,0,3,3
"2009-03-01",36,3,2,5,0,1,4,5
"2009-04-01",33,18,2,5,0,1,5,3
"2009-05-01",25,8,2,10,1,1,8,5
"2009-06-01",22,3,3,11,0,1,9,5
"2009-07-01",19,4,2,10,0,1,10,6
"2009-08-01",21,3,2,9,0,1,9,4
"2009-09-01",24,2,1,6,1,1,6,3
"2009-10-01",27,2,1,7,0,1,4,2
"2009-11-01",29,2,1,4,0,0,3,2
"2009-12-01",27,2,1,3,0,1,3,2
"2010-01-01",29,2,1,4,0,1,3,2
"2010-02-01",31,2,1,5,0,1,4,3
"2010-03-01",37,2,1,5,0,1,4,4
"2010-04-01",34,3,1,6,0,1,4,4
"2010-05-01",27,3,2,10,0,1,7,4
"2010-06-01",21,2,2,10,0,1,10,4
"2010-07-01",19,2,2,9,0,0,11,8
"2010-08-01",21,3,2,8,0,0,8,4
"2010-09-01",22,2,1,5,0,0,6,1
"2010-10-01",27,1,1,4,0,0,4,2
"2010-11-01",25,1,1,3,0,1,3,1
"2010-12-01",26,2,1,3,0,1,2,1
"2011-01-01",29,2,1,3,0,0,3,2
"2011-02-01",31,2,1,4,0,1,3,2
"2011-03-01",34,2,1,4,0,1,4,3
"2011-04-01",36,2,2,6,0,1,4,3
"2011-05-01",29,2,2,8,0,1,6,3
"2011-06-01",27,2,3,11,0,0,9,3
"2011-07-01",23,2,2,10,0,0,10,4
"2011-08-01",27,2,1,8,0,1,7,2
"2011-09-01",24,1,1,5,0,0,5,1
"2011-10-01",26,2,1,4,0,0,3,2
"2011-11-01",27,2,1,3,0,0,2,1
"2011-12-01",28,2,1,3,0,1,2,1
"2012-01-01",29,2,1,3,0,1,3,1
"2012-02-01",30,2,1,3,0,0,2,2
"2012-03-01",33,2,1,4,0,0,3,2
"2012-04-01",35,2,1,5,0,1,4,2
"2012-05-01",25,2,2,8,0,1,8,2
"2012-06-01",22,2,2,8,0,1,8,3
"2012-07-01",21,4,2,9,0,1,8,3
"2012-08-01",20,3,1,7,0,1,9,2
"2012-09-01",22,2,1,4,0,1,4,2
"2012-10-01",25,1,0,3,0,0,2,1
"2012-11-01",27,1,1,3,0,0,2,1
"2012-12-01",26,1,1,3,0,0,2,1
"2013-01-01",30,1,1,4,0,0,2,1
"2013-02-01",32,1,1,4,0,0,2,2
"2013-03-01",37,1,1,4,0,1,3,2
"2013-04-01",38,2,2,5,0,1,4,2
"2013-05-01",26,2,2,7,0,1,7,3
"2013-06-01",22,2,2,10,0,1,10,3
"2013-07-01",22,5,2,10,0,0,9,3
"2013-08-01",24,2,2,8,0,1,8,3
"2013-09-01",22,2,1,5,0,0,5,2
"2013-10-01",24,2,1,3,0,0,3,2
"2013-11-01",28,1,1,3,0,0,2,2
"2013-12-01",29,1,1,3,0,1,2,1
"2014-01-01",30,1,1,3,0,1,2,1
"2014-02-01",34,1,1,3,0,0,3,2
"2014-03-01",35,1,1,4,0,0,3,3
"2014-04-01",34,2,2,5,0,0,4,3
"2014-05-01",26,2,3,7,0,1,6,3
"2014-06-01",22,2,2,8,0,1,8,3
"2014-07-01",25,4,2,9,0,1,8,3
"2014-08-01",24,2,1,9,0,1,7,3
"2014-09-01",24,2,1,5,0,1,5,1
"2014-10-01",26,2,1,4,0,0,3,2
"2014-11-01",26,2,1,3,0,0,3,1
"2014-12-01",32,2,1,3,0,0,3,2
"2015-01-01",32,1,1,3,0,1,3,3
"2015-02-01",34,2,1,4,0,1,3,2
"2015-03-01",40,2,1,5,0,1,3,3
"2015-04-01",32,2,2,5,0,1,5,3
"2015-05-01",33,2,2,7,0,1,7,3
"2015-06-01",28,2,2,8,0,1,7,3
"2015-07-01",26,5,3,8,0,1,9,3
"2015-08-01",28,4,2,11,0,1,8,2
"2015-09-01",28,3,1,8,0,1,6,2
"2015-10-01",31,2,1,4,0,0,3,2
"2015-11-01",35,2,1,3,0,1,3,2
"2015-12-01",38,1,1,3,0,0,3,2
"2016-01-01",39,1,1,4,0,1,3,1
"2016-02-01",46,2,1,4,0,0,3,2
"2016-03-01",54,2,1,5,0,1,4,3
"2016-04-01",47,2,2,6,0,1,5,3
"2016-05-01",40,2,2,8,0,1,7,3
"2016-06-01",41,3,3,9,0,1,9,3
"2016-07-01",31,7,2,9,0,1,10,3
"2016-08-01",41,3,2,8,0,1,8,3
"2016-09-01",38,2,2,6,0,1,6,2
"2016-10-01",45,2,1,5,0,1,4,2
"2016-11-01",42,1,1,4,0,1,5,10
"2016-12-01",49,2,1,4,0,1,5,9
"2017-01-01",53,2,1,5,0,1,6,11
"2017-02-01",51,2,2,5,0,0,6,14
"2017-03-01",63,2,2,6,0,1,6,21
"2017-04-01",51,2,2,7,0,0,7,22
"2017-05-01",46,2,2,9,0,1,9,21
"2017-06-01",29,3,3,12,0,1,13,26
"2017-07-01",26,6,2,13,0,1,15,29
"2017-08-01",49,4,2,11,0,1,14,21
"2017-09-01",39,2,1,8,0,0,11,14
"2017-10-01",66,2,1,5,0,0,7,14
"2017-11-01",49,2,1,4,0,0,5,9
"2017-12-01",48,1,1,4,0,0,4,9
"2018-01-01",51,2,2,5,0,1,5,11
"2018-02-01",51,2,1,5,0,0,6,10
"2018-03-01",64,2,2,7,0,1,6,20
"2018-04-01",52,2,2,8,0,1,7,17
"2018-05-01",48,2,3,11,0,1,10,21
"2018-06-01",39,3,3,12,0,1,10,26
"2018-07-01",39,5,3,15,0,1,11,28
"2018-08-01",42,4,2,12,0,1,8,18
"2018-09-01",46,3,2,8,0,1,5,15
"2018-10-01",54,4,1,6,0,1,4,14
"2018-11-01",59,2,1,5,0,0,3,9
"2018-12-01",67,1,1,5,0,1,3,9
"2019-01-01",100,2,1,5,0,1,3,10
"2019-02-01",65,2,1,6,0,1,4,14
"2019-03-01",75,2,1,6,0,0,4,20
"2019-04-01",69,2,2,8,0,1,4,19
"2019-05-01",56,2,2,10,0,1,7,22
"2019-06-01",45,3,3,13,0,1,10,23
"2019-07-01",46,5,3,12,0,1,11,25
"2019-08-01",42,3,2,11,0,1,9,19
"2019-09-01",45,3,1,8,0,1,7,11
"2019-10-01",49,7,1,7,0,1,4,13
"2019-11-01",54,2,1,5,0,0,4,6
"2019-12-01",60,1,1,4,0,1,3,2
"2020-01-01",55,2,2,6,0,1,3,3
"2020-02-01",59,2,2,6,0,1,4,4
"2020-03-01",46,1,1,5,0,1,3,10
"2020-04-01",24,1,2,3,0,0,2,3
"2020-05-01",46,2,2,6,0,1,6,9
"2020-06-01",53,2,2,11,0,1,13,19
"2020-07-01",58,4,2,14,0,1,15,18
"2020-08-01",55,3,2,11,0,1,12,14
"2020-09-01",55,4,1,8,0,1,9,14
"2020-10-01",55,5,1,6,0,0,6,13
"2020-11-01",59,1,1,5,0,0,4,8
"2020-12-01",55,1,1,4,0,0,3,7
"2021-01-01",53,1,1,5,0,0,4,9
"2021-02-01",61,1,1,5,0,0,4,9
"2021-03-01",71,2,2,6,0,0,4,14
"2021-04-01",62,2,2,11,0,1,6,14
"2021-05-01",56,2,3,11,0,1,9,15
"2021-06-01",49,4,4,13,0,1,12,16
"2021-07-01",49,7,3,12,0,1,12,7
"2021-08-01",42,5,3,9,0,1,9,5
"2021-09-01",43,5,2,8,0,1,4,3
