"Time","Redwood National and State Parks","Rocky Mountain National Park","Saguaro National Park","Sequoia National Park","Shenandoah National Park","Theodore Roosevelt National Park","Virgin Islands National Park","Voyageurs National Park"
"2004-01-01",22,31,7,20,39,0,4,3
"2004-02-01",22,28,6,24,40,3,0,6
"2004-03-01",25,30,7,31,46,5,0,0
"2004-04-01",26,41,6,35,56,5,0,4
"2004-05-01",31,63,4,51,64,4,0,3
"2004-06-01",27,78,2,54,62,5,0,5
"2004-07-01",25,77,0,46,65,4,0,5
"2004-08-01",23,56,3,40,61,3,0,5
"2004-09-01",19,44,4,31,60,6,0,0
"2004-10-01",15,32,5,24,69,4,0,0
"2004-11-01",15,20,5,19,36,0,0,0
"2004-12-01",14,20,5,17,28,2,0,2
"2005-01-01",14,26,7,19,31,4,0,0
"2005-02-01",17,26,6,24,35,3,2,3
"2005-03-01",22,28,8,29,40,3,2,3
"2005-04-01",22,35,5,33,53,4,3,3
"2005-05-01",26,59,6,46,57,5,2,7
"2005-06-01",27,65,2,50,55,6,0,5
"2005-07-01",26,70,3,44,60,5,0,5
"2005-08-01",21,75,3,42,59,4,0,3
"2005-09-01",16,39,4,26,54,4,0,2
"2005-10-01",15,30,4,21,57,2,2,0
"2005-11-01",14,19,5,21,41,12,1,0
"2005-12-01",12,19,4,17,28,2,0,2
"2006-01-01",17,24,6,20,30,3,2,1
"2006-02-01",16,24,5,24,33,4,2,2
"2006-03-01",20,26,6,26,38,4,1,1
"2006-04-01",19,36,5,25,50,4,1,2
"2006-05-01",25,46,4,36,57,5,2,3
"2006-06-01",27,65,3,42,51,5,0,3
"2006-07-01",28,65,2,41,51,4,0,3
"2006-08-01",19,54,0,36,55,4,0,3
"2006-09-01",16,42,3,29,52,6,0,0
"2006-10-01",16,27,2,21,59,3,0,0
"2006-11-01",11,16,3,17,33,5,0,1
"2006-12-01",11,17,4,16,26,1,1,1
"2007-01-01",18,22,4,20,28,2,1,2
"2007-02-01",18,20,4,21,30,3,1,2
"2007-03-01",23,26,6,26,40,3,1,2
"2007-04-01",23,30,5,30,41,3,1,2
"2007-05-01",26,44,3,39,50,5,1,4
"2007-06-01",27,60,3,40,47,5,0,2
"2007-07-01",25,62,3,43,49,4,0,3
"2007-08-01",20,46,3,39,52,4,0,3
"2007-09-01",17,40,3,25,49,3,1,1
"2007-10-01",13,23,4,20,55,5,1,1
"2007-11-01",12,16,4,19,35,2,1,1
"2007-12-01",13,16,4,18,22,2,1,1
"2008-01-01",17,21,5,21,24,2,1,1
"2008-02-01",18,19,5,22,25,2,1,1
"2008-03-01",20,23,6,26,35,5,1,2
"2008-04-01",20,25,4,26,36,3,1,2
"2008-05-01",23,39,3,33,47,4,1,2
"2008-06-01",23,49,2,38,45,4,0,2
"2008-07-01",22,57,2,42,46,4,1,2
"2008-08-01",19,44,2,36,47,3,0,2
"2008-09-01",13,32,3,23,36,2,1,1
"2008-10-01",11,21,3,19,52,2,1,1
"2008-11-01",9,14,4,18,32,3,1,1
"2008-12-01",10,13,4,16,22,2,1,1
"2009-01-01",14,19,4,18,27,3,1,1
"2009-02-01",13,18,5,18,30,3,1,2
"2009-03-01",17,21,5,22,34,3,1,1
"2009-04-01",15,21,4,27,38,3,1,2
"2009-05-01",20,40,3,39,45,8,1,2
"2009-06-01",21,53,2,44,45,5,1,2
"2009-07-01",19,59,3,48,50,5,0,3
"2009-08-01",18,43,2,39,46,4,1,2
"2009-09-01",14,35,2,30,45,3,1,2
"2009-10-01",17,26,3,26,54,3,1,2
"2009-11-01",12,17,3,19,27,3,1,1
"2009-12-01",10,13,4,19,19,2,1,1
"2010-01-01",14,16,4,19,22,3,1,2
"2010-02-01",14,17,4,23,22,3,2,2
"2010-03-01",16,19,5,28,28,3,1,2
"2010-04-01",15,24,4,26,35,4,1,2
"2010-05-01",19,36,3,38,38,4,2,2
"2010-06-01",18,51,2,43,38,4,1,3
"2010-07-01",19,50,2,44,39,5,0,2
"2010-08-01",15,38,2,38,37,4,0,2
"2010-09-01",12,34,2,24,40,3,1,2
"2010-10-01",10,24,3,20,47,3,1,1
"2010-11-01",8,15,3,18,26,2,0,1
"2010-12-01",7,13,3,16,18,2,0,1
"2011-01-01",12,17,4,20,24,3,1,1
"2011-02-01",13,16,4,20,27,3,1,1
"2011-03-01",17,18,4,23,29,6,1,2
"2011-04-01",16,22,4,28,36,3,1,2
"2011-05-01",18,33,3,36,41,4,1,2
"2011-06-01",22,50,3,45,43,5,0,3
"2011-07-01",22,54,2,48,44,5,0,3
"2011-08-01",19,42,2,41,42,4,0,2
"2011-09-01",15,35,2,30,39,3,0,2
"2011-10-01",14,26,4,22,47,2,1,1
"2011-11-01",12,19,4,20,33,2,1,1
"2011-12-01",12,17,3,18,24,2,1,1
"2012-01-01",17,19,4,21,25,2,1,1
"2012-02-01",17,19,4,22,23,2,1,1
"2012-03-01",17,21,4,24,29,2,1,2
"2012-04-01",20,25,4,29,31,3,1,1
"2012-05-01",22,34,3,37,32,3,1,2
"2012-06-01",22,41,2,41,35,4,0,2
"2012-07-01",23,40,2,40,36,4,0,2
"2012-08-01",20,36,2,35,36,3,0,2
"2012-09-01",17,32,2,22,34,3,0,1
"2012-10-01",12,23,3,15,37,2,0,1
"2012-11-01",12,12,3,16,20,2,0,1
"2012-12-01",12,15,3,18,17,2,0,1
"2013-01-01",16,16,3,18,21,2,1,1
"2013-02-01",16,17,4,17,20,2,1,1
"2013-03-01",18,18,4,21,25,2,1,1
"2013-04-01",18,19,3,24,28,3,1,1
"2013-05-01",23,30,3,31,29,4,1,2
"2013-06-01",24,44,2,35,36,4,1,3
"2013-07-01",24,39,2,35,32,4,0,3
"2013-08-01",22,35,2,33,33,4,0,2
"2013-09-01",17,31,2,23,30,3,0,1
"2013-10-01",14,17,3,19,36,2,0,1
"2013-11-01",14,13,3,17,24,2,0,1
"2013-12-01",13,12,3,17,16,2,0,1
"2014-01-01",18,16,4,19,18,2,1,1
"2014-02-01",18,14,4,20,17,2,1,1
"2014-03-01",22,18,4,27,22,3,0,1
"2014-04-01",21,21,3,27,28,3,1,1
"2014-05-01",26,31,3,35,37,4,1,2
"2014-06-01",28,45,2,41,33,4,1,2
"2014-07-01",26,53,2,48,33,5,0,3
"2014-08-01",21,39,2,41,36,4,0,2
"2014-09-01",18,31,2,29,33,3,0,1
"2014-10-01",15,23,3,22,42,3,1,1
"2014-11-01",15,15,3,22,22,2,0,1
"2014-12-01",15,14,4,23,21,2,0,1
"2015-01-01",19,19,4,24,22,3,1,1
"2015-02-01",23,17,4,25,20,3,1,1
"2015-03-01",23,22,5,30,27,3,1,1
"2015-04-01",23,27,4,31,31,3,1,2
"2015-05-01",25,34,4,36,35,5,1,2
"2015-06-01",26,44,2,43,32,5,0,3
"2015-07-01",28,50,2,50,37,5,0,3
"2015-08-01",23,46,2,46,37,4,0,2
"2015-09-01",18,38,2,32,37,3,0,1
"2015-10-01",17,27,3,24,41,3,0,1
"2015-11-01",16,17,3,24,25,2,0,1
"2015-12-01",16,15,4,25,21,2,0,1
"2016-01-01",20,18,5,25,21,3,1,1
"2016-02-01",23,19,4,23,23,3,1,1
"2016-03-01",24,23,5,28,27,3,1,1
"2016-04-01",24,25,4,37,60,4,1,2
"2016-05-01",26,38,3,52,39,6,1,3
"2016-06-01",29,55,4,47,38,6,0,3
"2016-07-01",31,57,3,54,43,8,1,3
"2016-08-01",24,47,4,49,41,8,1,3
"2016-09-01",20,37,3,35,33,5,1,2
"2016-10-01",18,26,4,28,48,4,1,1
"2016-11-01",25,19,4,38,28,2,1,1
"2016-12-01",26,16,5,39,19,2,1,1
"2017-01-01",38,20,6,62,23,3,0,2
"2017-02-01",35,21,7,42,25,4,1,2
"2017-03-01",34,23,8,48,26,4,1,2
"2017-04-01",31,25,5,52,29,4,0,2
"2017-05-01",35,38,5,64,27,5,1,3
"2017-06-01",32,53,4,79,30,7,1,3
"2017-07-01",35,57,4,81,35,8,0,4
"2017-08-01",30,41,3,66,30,6,0,3
"2017-09-01",27,36,3,48,29,4,1,2
"2017-10-01",24,25,4,34,39,3,0,1
"2017-11-01",21,18,5,32,24,3,0,1
"2017-12-01",22,17,5,30,15,3,0,1
"2018-01-01",25,20,6,36,16,3,0,2
"2018-02-01",30,18,7,37,14,4,0,2
"2018-03-01",45,22,8,43,18,4,0,2
"2018-04-01",47,25,6,51,22,4,1,2
"2018-05-01",48,37,4,64,23,6,1,4
"2018-06-01",53,49,4,75,24,7,1,4
"2018-07-01",53,65,4,100,34,8,0,4
"2018-08-01",38,52,4,81,50,7,0,3
"2018-09-01",29,45,4,50,33,5,0,2
"2018-10-01",25,29,4,33,42,3,1,2
"2018-11-01",23,21,6,31,31,3,0,2
"2018-12-01",23,21,8,40,11,3,1,3
"2019-01-01",30,22,9,35,17,3,1,2
"2019-02-01",30,22,8,35,18,3,1,2
"2019-03-01",38,24,10,43,20,4,1,2
"2019-04-01",35,27,9,49,30,5,1,3
"2019-05-01",41,46,7,61,38,6,1,3
"2019-06-01",43,66,6,65,38,8,0,5
"2019-07-01",36,71,5,73,41,9,0,5
"2019-08-01",31,56,5,61,43,8,1,4
"2019-09-01",28,47,4,45,36,5,0,3
"2019-10-01",24,29,6,34,46,4,1,2
"2019-11-01",21,18,6,29,24,3,1,2
"2019-12-01",22,18,7,28,17,2,1,2
"2020-01-01",23,23,10,33,19,3,1,2
"2020-02-01",23,21,11,32,22,4,1,3
"2020-03-01",14,19,8,25,25,4,0,2
"2020-04-01",16,15,4,14,19,4,1,2
"2020-05-01",26,45,5,34,38,8,0,5
"2020-06-01",40,78,4,64,52,10,0,6
"2020-07-01",41,92,4,78,54,11,0,6
"2020-08-01",40,80,4,74,50,9,0,5
"2020-09-01",28,71,4,51,52,6,0,4
"2020-10-01",18,51,6,31,65,4,0,2
"2020-11-01",17,22,6,28,27,3,0,2
"2020-12-01",17,24,8,30,20,2,0,2
"2021-01-01",20,22,8,31,22,3,1,3
"2021-02-01",20,21,9,34,21,3,1,3
"2021-03-01",23,28,10,43,30,4,1,3
"2021-04-01",25,37,10,49,40,6,1,4
"2021-05-01",28,58,8,64,43,7,1,4
"2021-06-01",34,89,5,71,42,10,1,7
"2021-07-01",35,86,4,62,43,10,1,7
"2021-08-01",22,69,5,47,40,9,1,6
"2021-09-01",22,61,5,80,39,6,1,4
"2021-10-01",19,41,7,29,49,4,1,2
"2021-11-01",20,21,7,24,28,3,1,2
"2021-12-01",19,22,8,28,17,2,1,3
"2022-01-01",25,26,11,36,22,4,1,3
"2022-02-01",26,26,11,40,23,4,1,4
"2022-03-01",29,31,12,41,30,4,1,3
"2022-04-01",29,39,9,46,37,5,1,4
"2022-05-01",29,57,6,53,36,7,1,5
"2022-06-01",30,82,5,57,36,9,1,6
"2022-07-01",28,89,4,63,40,9,1,7
"2022-08-01",24,73,5,45,40,8,1,6
"2022-09-01",23,66,5,37,40,6,1,4
"2022-10-01",21,46,6,29,53,4,0,3
"2022-11-01",18,19,7,28,21,3,1,2
"2022-12-01",20,20,7,26,17,3,1,2
"2023-01-01",23,24,10,32,21,4,1,3
"2023-02-01",24,23,10,29,21,4,1,3
"2023-03-01",25,27,12,33,27,4,1,3
