"Time","White Sands National Park","Wind Cave National Park","Wrangell-St. Elias National Park & Preserve","Yosemite National Park","White Sands National Park"
"2004-01-01",2,0,0,27,2
"2004-02-01",1,0,0,31,1
"2004-03-01",1,0,0,36,1
"2004-04-01",1,1,0,43,1
"2004-05-01",1,0,0,52,1
"2004-06-01",2,1,0,50,2
"2004-07-01",2,1,0,48,2
"2004-08-01",1,0,0,40,1
"2004-09-01",1,0,0,35,1
"2004-10-01",1,0,0,31,1
"2004-11-01",1,0,0,23,1
"2004-12-01",1,0,0,23,1
"2005-01-01",2,0,0,26,2
"2005-02-01",2,0,1,29,2
"2005-03-01",2,0,0,35,2
"2005-04-01",1,0,0,38,1
"2005-05-01",1,1,0,57,1
"2005-06-01",2,1,0,48,2
"2005-07-01",1,1,0,46,1
"2005-08-01",1,0,1,37,1
"2005-09-01",1,1,0,30,1
"2005-10-01",1,0,0,26,1
"2005-11-01",1,0,0,22,1
"2005-12-01",1,0,0,22,1
"2006-01-01",1,0,0,24,1
"2006-02-01",1,0,0,25,1
"2006-03-01",1,0,0,27,1
"2006-04-01",1,1,0,34,1
"2006-05-01",1,1,0,43,1
"2006-06-01",1,1,0,44,1
"2006-07-01",1,1,0,37,1
"2006-08-01",1,0,0,33,1
"2006-09-01",1,0,0,26,1
"2006-10-01",3,0,0,23,3
"2006-11-01",1,0,0,19,1
"2006-12-01",1,0,0,19,1
"2007-01-01",1,0,0,23,1
"2007-02-01",1,0,0,21,1
"2007-03-01",1,0,0,25,1
"2007-04-01",1,1,0,30,1
"2007-05-01",1,1,0,38,1
"2007-06-01",1,1,0,38,1
"2007-07-01",1,1,0,35,1
"2007-08-01",1,0,0,29,1
"2007-09-01",1,0,0,23,1
"2007-10-01",1,0,0,20,1
"2007-11-01",1,0,0,18,1
"2007-12-01",1,0,0,17,1
"2008-01-01",1,0,0,22,1
"2008-02-01",1,0,0,21,1
"2008-03-01",1,0,0,26,1
"2008-04-01",1,0,0,29,1
"2008-05-01",1,0,0,36,1
"2008-06-01",1,1,0,33,1
"2008-07-01",1,0,0,43,1
"2008-08-01",1,0,0,27,1
"2008-09-01",1,0,0,21,1
"2008-10-01",1,0,0,19,1
"2008-11-01",1,0,0,16,1
"2008-12-01",1,0,0,15,1
"2009-01-01",1,0,0,17,1
"2009-02-01",1,0,0,17,1
"2009-03-01",1,0,0,22,1
"2009-04-01",1,0,0,26,1
"2009-05-01",1,1,0,34,1
"2009-06-01",1,1,0,37,1
"2009-07-01",1,1,0,34,1
"2009-08-01",1,0,0,32,1
"2009-09-01",1,0,0,29,1
"2009-10-01",1,0,0,23,1
"2009-11-01",1,0,0,17,1
"2009-12-01",1,0,0,15,1
"2010-01-01",1,0,0,20,1
"2010-02-01",1,0,0,21,1
"2010-03-01",1,0,0,23,1
"2010-04-01",1,0,0,27,1
"2010-05-01",1,1,0,31,1
"2010-06-01",1,1,0,32,1
"2010-07-01",1,1,0,33,1
"2010-08-01",1,0,0,27,1
"2010-09-01",1,0,0,20,1
"2010-10-01",1,0,0,19,1
"2010-11-01",1,0,0,17,1
"2010-12-01",1,0,0,15,1
"2011-01-01",1,0,0,20,1
"2011-02-01",1,0,0,19,1
"2011-03-01",1,0,0,24,1
"2011-04-01",1,0,0,27,1
"2011-05-01",1,1,0,33,1
"2011-06-01",1,1,0,42,1
"2011-07-01",1,1,0,47,1
"2011-08-01",1,0,0,34,1
"2011-09-01",1,0,0,23,1
"2011-10-01",1,0,0,19,1
"2011-11-01",1,0,0,15,1
"2011-12-01",1,0,0,15,1
"2012-01-01",1,0,0,20,1
"2012-02-01",1,0,0,21,1
"2012-03-01",1,0,0,21,1
"2012-04-01",1,0,0,24,1
"2012-05-01",1,0,0,29,1
"2012-06-01",1,0,0,30,1
"2012-07-01",1,1,0,31,1
"2012-08-01",1,0,0,32,1
"2012-09-01",1,0,0,25,1
"2012-10-01",1,0,0,15,1
"2012-11-01",1,0,0,14,1
"2012-12-01",1,0,0,14,1
"2013-01-01",1,0,0,16,1
"2013-02-01",1,0,0,16,1
"2013-03-01",1,0,0,19,1
"2013-04-01",1,0,0,22,1
"2013-05-01",1,0,0,26,1
"2013-06-01",1,1,0,31,1
"2013-07-01",1,1,0,28,1
"2013-08-01",1,0,0,54,1
"2013-09-01",1,1,0,26,1
"2013-10-01",1,0,0,31,1
"2013-11-01",1,0,0,14,1
"2013-12-01",1,0,0,14,1
"2014-01-01",1,0,0,16,1
"2014-02-01",1,0,0,16,1
"2014-03-01",1,0,0,20,1
"2014-04-01",1,0,0,26,1
"2014-05-01",1,0,0,27,1
"2014-06-01",1,1,0,42,1
"2014-07-01",1,1,0,44,1
"2014-08-01",1,0,0,38,1
"2014-09-01",1,0,0,50,1
"2014-10-01",1,0,0,100,1
"2014-11-01",1,0,0,74,1
"2014-12-01",1,0,0,58,1
"2015-01-01",1,0,0,59,1
"2015-02-01",1,0,0,50,1
"2015-03-01",1,0,0,51,1
"2015-04-01",1,0,0,51,1
"2015-05-01",1,0,0,56,1
"2015-06-01",1,1,0,53,1
"2015-07-01",1,1,0,56,1
"2015-08-01",2,1,0,55,2
"2015-09-01",1,0,0,42,1
"2015-10-01",1,0,0,33,1
"2015-11-01",1,0,0,26,1
"2015-12-01",1,0,0,26,1
"2016-01-01",1,0,0,29,1
"2016-02-01",1,0,0,29,1
"2016-03-01",2,0,0,31,2
"2016-04-01",1,0,0,33,1
"2016-05-01",2,0,0,37,2
"2016-06-01",1,1,0,40,1
"2016-07-01",2,1,0,36,2
"2016-08-01",1,1,0,32,1
"2016-09-01",1,0,0,30,1
"2016-10-01",1,0,0,24,1
"2016-11-01",1,0,0,22,1
"2016-12-01",1,0,0,21,1
"2017-01-01",1,0,0,28,1
"2017-02-01",1,0,0,29,1
"2017-03-01",2,0,0,28,2
"2017-04-01",2,0,0,31,2
"2017-05-01",2,1,0,37,2
"2017-06-01",2,1,0,41,2
"2017-07-01",1,1,0,43,1
"2017-08-01",1,1,0,33,1
"2017-09-01",1,0,0,34,1
"2017-10-01",1,0,0,24,1
"2017-11-01",1,0,0,18,1
"2017-12-01",2,0,0,18,2
"2018-01-01",1,0,0,22,1
"2018-02-01",1,0,0,24,1
"2018-03-01",2,0,0,28,2
"2018-04-01",2,0,0,32,2
"2018-05-01",2,1,0,34,2
"2018-06-01",2,1,0,41,2
"2018-07-01",2,1,0,52,2
